fuelType,rating,renterTripsTaken,reviewCount,location.city,location.country,location.latitude,location.longitude,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year
ELECTRIC,5,13,12,Seattle,US,47.449107,-122.308841,WA,12847615,135,Tesla,Model X,suv,2019
ELECTRIC,5,2,1,Tijeras,US,35.11106,-106.276551,NM,15621242,190,Tesla,Model X,suv,2018
HYBRID,4.92,28,24,Albuquerque,US,35.127163,-106.566681,NM,10199256,35,Toyota,Prius,car,2012
GASOLINE,5,21,20,Albuquerque,US,35.149726,-106.711425,NM,9365496,75,Ford,Mustang,car,2018
GASOLINE,5,3,1,Albuquerque,US,35.208659,-106.601008,NM,3553565,47,Chrysler,Sebring,car,2010
GASOLINE,5,13,12,Albuquerque,US,35.068834,-106.576111,NM,7815747,58,Mercedes-Benz,GL-Class,suv,2012
GASOLINE,4.42,13,12,Albuquerque,US,35.045552,-106.633815,NM,3112016,42,GMC,Yukon XL,suv,2005
GASOLINE,4.9,12,10,Albuquerque,US,35.186542,-106.686481,NM,9536762,117,Ford,Expedition,suv,2018
GASOLINE,5,1,1,Albuquerque,US,35.061213,-106.629406,NM,14893743,102,Ford,Focus RS,car,2016
GASOLINE,4.76,22,17,Albuquerque,US,35.115363,-106.556911,NM,11389136,49,Ford,EcoSport,suv,2018
GASOLINE,4.95,23,22,Albuquerque,US,35.148891,-106.71102,NM,9365496,75,Ford,F-150,truck,2012
HYBRID,4.7,11,10,Albuquerque,US,35.121564,-106.598445,NM,10199256,35,Toyota,Prius,car,2012
GASOLINE,5,11,7,Albuquerque,US,35.078547,-106.497368,NM,9346980,88,Volkswagen,Tiguan,suv,2018
HYBRID,4.92,51,38,Albuquerque,US,35.186381,-106.727808,NM,3070318,42,Toyota,Avalon Hybrid,car,2013
GASOLINE,4.88,61,56,Albuquerque,US,35.161777,-106.535379,NM,3092621,42,Saab,3-Sep,car,2011
GASOLINE,4.5,2,2,Albuquerque,US,35.108365,-106.598589,NM,14428787,65,Ram,CV Tradesman,minivan,2014
GASOLINE,,0,0,Albuquerque,US,35.115653,-106.578805,NM,1889102,42,Jeep,Cherokee,suv,2018
GASOLINE,5,23,20,Albuquerque,US,35.161964,-106.535441,NM,3092621,116,Porsche,Cayman,car,2007
GASOLINE,4.67,5,3,Albuquerque,US,35.049006,-106.617357,NM,4112693,119,Jeep,Wrangler JK,suv,2018
GASOLINE,5,24,19,Santa Fe,US,35.597391,-106.040869,NM,1603416,80,Ford,Mustang,car,2019
GASOLINE,4.5,4,2,Albuquerque,US,35.190108,-106.747581,NM,8860306,97,Ford,Explorer,suv,2012
GASOLINE,4.92,70,52,Albuquerque,US,35.153704,-106.67937,NM,911080,41,Nissan,Rogue,suv,2016
ELECTRIC,5,3,1,Albuquerque,US,35.213677,-106.724059,NM,1269071,171,Tesla,Model S,car,2015
GASOLINE,4.72,20,18,Santa Fe,US,35.648967,-106.046019,NM,6744409,50,Dodge,Charger,car,2014
GASOLINE,4.85,61,46,Santa Fe,US,35.597415,-106.042253,NM,1603416,49,Volkswagen,Jetta,car,2019
GASOLINE,4.82,18,11,Santa Fe,US,35.648514,-106.045212,NM,6744409,39,Hyundai,Sonata,car,2016
GASOLINE,4.8,63,54,Rio Rancho,US,35.223908,-106.675636,NM,293620,28,Chevrolet,Impala,car,2010
GASOLINE,5,21,19,Albuquerque,US,35.163908,-106.577477,NM,2565503,32,Hyundai,Accent,car,2015
GASOLINE,5,21,20,Albuquerque,US,35.164391,-106.577068,NM,2565503,28,Ford,Focus,car,2010
GASOLINE,,0,0,Grovetown,US,33.50852,-82.236315,GA,14680097,125,GMC,Yukon XL,suv,2018
GASOLINE,5,3,3,Evans,US,33.534464,-82.120888,GA,7697716,112,Toyota,Sequoia,suv,2016
GASOLINE,5,21,19,Augusta,US,33.367664,-81.966226,GA,11515981,87,Mercedes-Benz,GLC-Class,suv,2016
,5,9,8,Augusta,US,33.368491,-81.96643,GA,11515981,47,Ford,Fiesta,car,2019
GASOLINE,5,9,8,Augusta,US,33.483601,-82.110307,GA,14931796,42,Dodge,Journey,suv,2019
HYBRID,5,5,3,Evans,US,33.545897,-82.197674,GA,9709583,130,Lexus,ES 300h,car,2015
GASOLINE,5,1,1,Augusta,US,33.513423,-82.027434,GA,15162374,115,Cadillac,ATS,car,2015
GASOLINE,4.5,3,2,Beech Island,US,33.501183,-81.907672,SC,2842845,85,Lexus,IS 350,car,2015
GASOLINE,4.58,27,19,East Point,US,33.653209,-84.492165,GA,7697843,24,smart,fortwo,car,2010
GASOLINE,5,52,44,Atlanta,US,33.640717,-84.42758,GA,6025007,144,Land Rover,Range Rover,suv,2016
ELECTRIC,4.83,8,6,Doraville,US,33.903748,-84.280355,GA,53029,146,Tesla,Model 3,car,2020
GASOLINE,4.94,34,33,East Point,US,33.653768,-84.492429,GA,7868475,125,Porsche,718 Boxster,car,2017
GASOLINE,5,12,10,Grayson,US,33.906905,-83.960234,GA,1295660,175,Mercedes-Benz,S-Class,car,2015
GASOLINE,5,2,2,Atlanta,US,33.891295,-84.453929,GA,12796797,200,BMW,7 Series,car,2018
GASOLINE,4.93,18,14,Atlanta,US,33.903877,-84.277873,GA,53029,98,Mercedes-benz,C-Class,car,2019
GASOLINE,,0,0,Tampa,US,28.082946,-82.542147,FL,14752326,96,BMW,4 Series,car,2018
GASOLINE,4.89,94,80,Atlanta,US,33.927403,-84.342767,GA,511103,150,Porsche,Panamera,car,2011
GASOLINE,4.85,134,110,Doraville,US,33.887491,-84.309188,GA,53029,99,Mercedes-Benz,GLA-Class,suv,2017
GASOLINE,4.87,40,30,East Point,US,33.652468,-84.492432,GA,7697843,42,Volkswagen,Jetta,car,2016
GASOLINE,4.89,40,35,Fairburn,US,33.53956,-84.577374,GA,11311856,48,Acura,MDX,suv,2014
